query,intent,department,priority,sentiment
Can I apply for multiple scholarships simultaneously?,Scholarship,Scholarship Cell,Medium,Neutral
Thank you for ensuring a safe environment in the hostel.,Complaint,Student Affairs,Low,Positive
The admission process was smooth and well-organised this year.,Admission,Admission Department,Low,Positive
Is there a provision for sports quota admission?,Admission,Admission Department,Low,Neutral
What is the procedure for exam form correction?,Examination,Examination Department,Low,Neutral
"Thank you, my admission documents were verified quickly.",Admission,Admission Department,Low,Positive
I have been charged hostel fee even though I am a day scholar.,Finance,Finance Department,High,Negative
Discriminatory remarks were made by a professor in class.,Complaint,Student Affairs,High,Negative
The challan generated has incorrect details.,Finance,Finance Department,Medium,Negative
Who is the grievance redressal officer?,Complaint,Student Affairs,Medium,Neutral
I received my admission confirmation letter on time.,Admission,Admission Department,Low,Positive
The staff at the admission office was very helpful.,Admission,Admission Department,Medium,Positive
I was asked to submit documents twice but still no confirmation.,Admission,Admission Department,High,Negative
I am being harassed by a senior student and no action is being taken.,Complaint,Student Affairs,High,Negative
The faculty is not conducting classes regularly.,Complaint,Student Affairs,High,Negative
What is the deadline for scholarship form submission?,Scholarship,Scholarship Cell,Medium,Neutral
Wrong fee head was applied to my account causing confusion.,Finance,Finance Department,Medium,Negative
Is direct admission available for lateral entry students?,Admission,Admission Department,Medium,Neutral
I got my corrected mark sheet within 23 days.,Examination,Examination Department,Low,Positive
How many attempts are allowed for a backlog paper?,Examination,Examination Department,Medium,Neutral
My internal marks have not been updated for 4 subjects.,Examination,Examination Department,High,Negative
Is air conditioning available in hostel rooms?,Hostel,Hostel Department,Medium,Neutral
My result shows fail but I had submitted all answers correctly.,Examination,Examination Department,High,Negative
What documents are required for scholarship application?,Scholarship,Scholarship Cell,Medium,Neutral
I have been allotted a wrong exam centre far from my address.,Examination,Examination Department,Medium,Negative
Is there a government scholarship tie-up with this university?,Scholarship,Scholarship Cell,Medium,Neutral
Where is the medical centre located on campus?,General,Help Desk,Medium,Neutral
The practical exam was scheduled without any prior intimation.,Examination,Examination Department,High,Negative
The exam schedule was shared well in advance this time.,Examination,Examination Department,Medium,Positive
Wrong category was assigned to me during the admission process.,Admission,Admission Department,High,Negative
What is the anti-ragging policy of the university?,Complaint,Student Affairs,Medium,Neutral
I was wrongly penalised for something I did not do.,Complaint,Student Affairs,High,Negative
Wrong category was assigned to me during the admission process.,Admission,Admission Department,High,Negative
The hostel room was clean and well-maintained on arrival.,Hostel,Hostel Department,Low,Positive
Is there a scholarship for differently-abled students?,Scholarship,Scholarship Cell,Medium,Neutral
How do I download my admit card from the portal?,Examination,Examination Department,Medium,Neutral
Is air conditioning available in hostel rooms?,Hostel,Hostel Department,Medium,Neutral
Can I escalate my complaint if it is not resolved?,Complaint,Student Affairs,Medium,Neutral
My profile on the placement portal shows incorrect CGPA.,Placement,Placement Cell,High,Negative
Which companies visited last year?,Placement,Placement Cell,Low,Neutral
Where is the medical centre located on campus?,General,Help Desk,Medium,Neutral
What is the last date for fee payment this semester?,Finance,Finance Department,Low,Neutral
How long does it take to resolve a grievance?,Complaint,Student Affairs,Medium,Neutral
Can I appear in exam if attendance is below 75 percent?,Examination,Examination Department,Low,Neutral
Are parents allowed to visit the hostel?,Hostel,Hostel Department,Medium,Neutral
I submitted all documents but my application still shows incomplete.,Scholarship,Scholarship Cell,High,Negative
How do I apply for a room change?,Hostel,Hostel Department,Low,Neutral
What items are allowed and not allowed in the hostel?,Hostel,Hostel Department,Low,Neutral
Wrong fee head was applied to my account causing confusion.,Finance,Finance Department,Medium,Negative
I missed the counselling round due to no notification from the portal.,Admission,Admission Department,High,Negative
The transport bus schedule has changed without any notice.,General,Help Desk,High,Negative
The examination fee was deducted but the form was not submitted.,Examination,Examination Department,Medium,Negative
I was threatened by a classmate and reported it but nothing happened.,Complaint,Student Affairs,High,Negative
The seat allotment letter has not been issued after 20 days of payment.,Admission,Admission Department,High,Negative
The seat allotment letter has not been issued after 24 days of payment.,Admission,Admission Department,High,Negative
The transport bus schedule has changed without any notice.,General,Help Desk,High,Negative
The online payment system is very convenient.,Finance,Finance Department,Medium,Positive
My transaction failed but the amount was debited from my account.,Finance,Finance Department,Medium,Negative
Is direct admission available for lateral entry students?,Admission,Admission Department,Medium,Neutral
Can I escalate my complaint if it is not resolved?,Complaint,Student Affairs,Medium,Neutral
The anti-ragging committee is not accessible to students.,Complaint,Student Affairs,High,Negative
What is the income limit for need-based scholarship?,Scholarship,Scholarship Cell,Medium,Neutral
I have not received my offer letter even after 7 months of selection.,Placement,Placement Cell,High,Negative
Is there a scholarship for differently-abled students?,Scholarship,Scholarship Cell,Medium,Neutral
Is there a training program before placements?,Placement,Placement Cell,Low,Neutral
Who is the grievance redressal officer?,Complaint,Student Affairs,Medium,Neutral
What is the minimum CGPA required for placement registration?,Placement,Placement Cell,Medium,Neutral
What is the academic calendar for this year?,General,Help Desk,Medium,Neutral
What is the procedure for the internal complaints committee?,Complaint,Student Affairs,Medium,Neutral
Is there a government scholarship tie-up with this university?,Scholarship,Scholarship Cell,Low,Neutral
I have not received any communication regarding my scholarship status.,Scholarship,Scholarship Cell,High,Negative
